,drug_name,drug_id,ind_name,ind_id,NCT,status,phase,DetailedStatus
5721,Fusidic Acid,DB02703,Granuloma Inguinale,C0018190,,Approved,,
5723,Fusidic Acid,DB02703,Yaws,C0043388,,Approved,,
5737,Fusidic Acid,DB02703,Rhinoscleroma,C0035468,,Approved,,
5745,Fusidic Acid,DB02703,Anterior uveitis,C0042165,,Approved,,
5757,Fusidic Acid,DB02703,Chancroids,C0007947,,Approved,,
5759,Fusidic Acid,DB02703,Brill-Zinsser Disease,C0006181,,Approved,,
5762,Fusidic Acid,DB02703,Cholera,C0008354,,Approved,,
5770,Fusidic Acid,DB02703,Acute gonococcal epididymo-orchitis,C0153193,,Approved,,
5779,Fusidic Acid,DB02703,Gastrointestinal anthrax,C0152945,,Approved,,
5844,Mepenzolate,DB04843,Peptic Ulcer,C0030920,,Approved,,
5845,Ixabepilone,DB04845,Breast Carcinoma,C0678222,,Approved,,
5850,Nebivolol,DB04861,Hypertensive disease,C0020538,,Approved,,
5856,Vildagliptin,DB04876,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
5869,Clevidipine,DB04920,Hypertensive disease,C0020538,,Approved,,
5871,Permethrin,DB04930,Pediculus capitis infestation,C0030757,,Approved,,
5873,Permethrin,DB04930,Body louse infestation,C0030758,,Approved,,
5879,Iloperidone,DB04946,Schizophrenia,C0036341,,Approved,,
5881,Ingenol Mebutate,DB05013,Actinic keratosis,C0022602,,Approved,,
5889,Methsuximide,DB05246,Absence Epilepsy,C0014553,,Approved,,
5890,Methsuximide,DB05246,Epilepsy,C0014544,,Approved,,
5894,Rotigotine,DB05271,Restless Legs Syndrome,C0035258,,Approved,,
5919,Acetylcysteine,DB06151,Bronchiectasis,C0006267,,Approved,,
5921,Acetylcysteine,DB06151,Amyloidosis,C0002726,,Approved,,
5933,Icatibant,DB06196,"Angioedemas, Hereditary",C0019243,,Approved,,
5935,Alogliptin,DB06203,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
5945,Tolvaptan,DB06212,Inappropriate ADH Syndrome,C0021141,,Approved,,
5948,Asenapine,DB06216,Schizophrenia,C0036341,,Approved,,
5949,Asenapine,DB06216,Mixed bipolar I disorder,C0236780,,Approved,,
5970,Temsirolimus,DB06287,Renal Cell Carcinoma,C0007134,,Approved,,
5974,Dapagliflozin,DB06292,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
5976,Saxagliptin,DB06335,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
5992,Pazopanib,DB06589,Renal Cell Carcinoma,C0007134,,Approved,,
6020,Pasireotide,DB06663,Adrenal Gland Hyperfunction,C0001622,,Approved,,
6029,Mepyramine,DB06691,Common Cold,C0009443,,Approved,,
6044,Betahistine,DB06698,Meniere Disease,C0025281,,Approved,,
6139,Plerixafor,DB06809,Multiple Myeloma,C0026764,,Approved,,
6186,Lurasidone,DB08815,Schizophrenia,C0036341,,Approved,,
6190,Tafluprost,DB08819,Ocular Hypertension,C0028840,,Approved,,
6193,Azilsartan medoxomil,DB08822,Hypertensive disease,C0020538,,Approved,,
6203,Fingolimod,DB08868,"Multiple Sclerosis, Relapsing-Remitting",C0751967,,Approved,,
6217,Ruxolitinib,DB08877,Myeloproliferative disease,C0027022,,Approved,,
6223,Linagliptin,DB08882,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
6231,Carfilzomib,DB08889,Multiple Myeloma,C0026764,,Approved,,
6239,Regorafenib,DB08896,Gastrointestinal Stromal Tumors,C0238198,,Approved,,
6240,Aclidinium,DB08897,Chronic Obstructive Airway Disease,C0024117,,Approved,,
6243,Ponatinib,DB08901,"Myeloid Leukemia, Chronic",C0023473,,Approved,,
6255,Canagliflozin,DB08907,"Diabetes Mellitus, Non-Insulin-Dependent",C0011860,,Approved,,
6258,Pomalidomide,DB08910,Multiple Myeloma,C0026764,,Approved,,
